Temperature,Condition,Source URL,Humidity,Wind Speed,Barometer,Dewpoint,Visibility,Wind Chill,Last update,ZIP Code,Latitude,Longitude,Fetched At,Vegetation Estimate,Dryness Score,Dryness Level
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8858&lon=-87.6181,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60601,41.8858,-87.6181,2025-04-05 17:16:40,Urban/Concrete,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8829&lon=-87.6321,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60602,41.8829,-87.6321,2025-04-05 17:16:41,Urban/Concrete,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8798&lon=-87.6285,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60603,41.8798,-87.6285,2025-04-05 17:16:42,Urban/Concrete,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8785&lon=-87.633,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60604,41.8785,-87.633,2025-04-05 17:16:42,Urban/Concrete,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8713&lon=-87.6277,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60605,41.8713,-87.6277,2025-04-05 17:16:43,Urban/Concrete,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8868&lon=-87.6386,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60606,41.8868,-87.6386,2025-04-05 17:16:44,Urban/Concrete,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8721&lon=-87.6578,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60607,41.8721,-87.6578,2025-04-05 17:16:44,Urban/Concrete,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8515&lon=-87.6694,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60608,41.8515,-87.6694,2025-04-05 17:16:45,Mixed/Unknown,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8097&lon=-87.6533,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60609,41.8097,-87.6533,2025-04-05 17:16:45,Mixed/Unknown,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.9033&lon=-87.6336,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60610,41.9033,-87.6336,2025-04-05 17:16:46,Mixed/Unknown,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8971&lon=-87.6223,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60611,41.8971,-87.6223,2025-04-05 17:16:47,Mixed/Unknown,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8805&lon=-87.6873,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60612,41.8805,-87.6873,2025-04-05 17:16:48,Mixed/Unknown,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.9543&lon=-87.6575,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60613,41.9543,-87.6575,2025-04-05 17:16:48,Mixed/Unknown,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.9229&lon=-87.6483,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60614,41.9229,-87.6483,2025-04-05 17:16:49,Mixed/Unknown,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8022&lon=-87.6006,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60615,41.8022,-87.6006,2025-04-05 17:16:50,Mixed/Unknown,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8426&lon=-87.6306,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60616,41.8426,-87.6306,2025-04-05 17:16:50,Mixed/Unknown,1.0,Normal
48°F,Fair,https://forecast.weather.gov/MapClick.php?lat=41.7257&lon=-87.556,66%,E 9 mph,30.07 in,37°F (3°C),10.00 mi,44°F (7°C),5 Apr 4:54 pm CDT,60617,41.7257,-87.556,2025-04-05 17:16:51,Mixed/Unknown,1.0,Normal
53°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.9464&lon=-87.7042,52%,N 12 mph,30.05 in (1017.9 mb),36°F (2°C),10.00 mi,49°F (9°C),5 Apr 4:51 pm CDT,60618,41.9464,-87.7042,2025-04-05 17:16:51,Mixed/Unknown,2.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.7458&lon=-87.6054,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60619,41.7458,-87.6054,2025-04-05 17:16:52,Mixed/Unknown,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.7411&lon=-87.6543,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60620,41.7411,-87.6543,2025-04-05 17:16:52,Mixed/Unknown,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.775&lon=-87.6421,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60621,41.775,-87.6421,2025-04-05 17:16:53,Mixed/Unknown,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.9019&lon=-87.6779,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60622,41.9019,-87.6779,2025-04-05 17:16:53,Mixed/Unknown,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.849&lon=-87.7157,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60623,41.849,-87.7157,2025-04-05 17:16:53,Mixed/Unknown,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8804&lon=-87.7223,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60624,41.8804,-87.7223,2025-04-05 17:16:54,Mixed/Unknown,1.0,Normal
53°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.9703&lon=-87.7042,52%,N 12 mph,30.05 in (1017.9 mb),36°F (2°C),10.00 mi,49°F (9°C),5 Apr 4:51 pm CDT,60625,41.9703,-87.7042,2025-04-05 17:16:55,Mixed/Unknown,2.0,Normal
53°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=42.0095&lon=-87.6689,52%,N 12 mph,30.05 in (1017.9 mb),36°F (2°C),10.00 mi,49°F (9°C),5 Apr 4:51 pm CDT,60626,42.0095,-87.6689,2025-04-05 17:16:55,Mixed/Unknown,2.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.6934&lon=-87.6243,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60628,41.6934,-87.6243,2025-04-05 17:16:56,Mixed/Unknown,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.7781&lon=-87.7069,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60629,41.7781,-87.7069,2025-04-05 17:16:56,Mixed/Unknown,1.0,Normal
53°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.9699&lon=-87.7603,52%,N 12 mph,30.05 in (1017.9 mb),36°F (2°C),10.00 mi,49°F (9°C),5 Apr 4:51 pm CDT,60630,41.9699,-87.7603,2025-04-05 17:16:57,Sparse/Suburban,2.0,Normal
53°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.9951&lon=-87.8082,52%,N 12 mph,30.05 in (1017.9 mb),36°F (2°C),10.00 mi,49°F (9°C),5 Apr 4:51 pm CDT,60631,41.9951,-87.8082,2025-04-05 17:16:57,Sparse/Suburban,2.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8093&lon=-87.7052,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60632,41.8093,-87.7052,2025-04-05 17:16:58,Sparse/Suburban,1.0,Normal
48°F,Fair,https://forecast.weather.gov/MapClick.php?lat=41.6642&lon=-87.5612,66%,E 9 mph,30.07 in,37°F (3°C),10.00 mi,44°F (7°C),5 Apr 4:54 pm CDT,60633,41.6642,-87.5612,2025-04-05 17:16:58,Sparse/Suburban,1.0,Normal
53°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.9463&lon=-87.8061,52%,N 12 mph,30.05 in (1017.9 mb),36°F (2°C),10.00 mi,49°F (9°C),5 Apr 4:51 pm CDT,60634,41.9463,-87.8061,2025-04-05 17:16:59,Sparse/Suburban,2.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.776&lon=-87.6674,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60636,41.776,-87.6674,2025-04-05 17:16:59,Sparse/Suburban,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.7813&lon=-87.6051,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60637,41.7813,-87.6051,2025-04-05 17:17:00,Sparse/Suburban,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.7814&lon=-87.7705,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60638,41.7814,-87.7705,2025-04-05 17:17:00,Sparse/Suburban,1.0,Normal
53°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.9202&lon=-87.7535,52%,N 12 mph,30.05 in (1017.9 mb),36°F (2°C),10.00 mi,49°F (9°C),5 Apr 4:51 pm CDT,60639,41.9202,-87.7535,2025-04-05 17:17:01,Sparse/Suburban,2.0,Normal
53°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.9719&lon=-87.6624,52%,N 12 mph,30.05 in (1017.9 mb),36°F (2°C),10.00 mi,49°F (9°C),5 Apr 4:51 pm CDT,60640,41.9719,-87.6624,2025-04-05 17:17:01,Sparse/Suburban,2.0,Normal
53°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.9453&lon=-87.7474,52%,N 12 mph,30.05 in (1017.9 mb),36°F (2°C),10.00 mi,49°F (9°C),5 Apr 4:51 pm CDT,60641,41.9453,-87.7474,2025-04-05 17:17:02,Sparse/Suburban,2.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.9008&lon=-87.6528,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60642,41.9008,-87.6528,2025-04-05 17:17:03,Sparse/Suburban,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.6996&lon=-87.6628,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60643,41.6996,-87.6628,2025-04-05 17:17:03,Sparse/Suburban,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8829&lon=-87.7582,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60644,41.8829,-87.7582,2025-04-05 17:17:04,Sparse/Suburban,1.0,Normal
53°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=42.0086&lon=-87.6947,52%,N 12 mph,30.05 in (1017.9 mb),36°F (2°C),10.00 mi,49°F (9°C),5 Apr 4:51 pm CDT,60645,42.0086,-87.6947,2025-04-05 17:17:04,Sparse/Suburban,2.0,Normal
53°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.993&lon=-87.7596,52%,N 12 mph,30.05 in (1017.9 mb),36°F (2°C),10.00 mi,49°F (9°C),5 Apr 4:51 pm CDT,60646,41.993,-87.7596,2025-04-05 17:17:05,Sparse/Suburban,2.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.9209&lon=-87.7043,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60647,41.9209,-87.7043,2025-04-05 17:17:05,Sparse/Suburban,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.762&lon=-87.5703,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60649,41.762,-87.5703,2025-04-05 17:17:05,Sparse/Suburban,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.9025&lon=-87.7393,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60651,41.9025,-87.7393,2025-04-05 17:17:06,Mixed/Unknown,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.7454&lon=-87.7135,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60652,41.7454,-87.7135,2025-04-05 17:17:07,Mixed/Unknown,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8196&lon=-87.6126,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60653,41.8196,-87.6126,2025-04-05 17:17:07,Mixed/Unknown,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8923&lon=-87.6373,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60654,41.8923,-87.6373,2025-04-05 17:17:08,Mixed/Unknown,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.6948&lon=-87.7038,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60655,41.6948,-87.7038,2025-04-05 17:17:08,Forested/Parkland,1.0,Normal
53°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.9735&lon=-87.8658,52%,N 12 mph,30.05 in (1017.9 mb),36°F (2°C),10.00 mi,49°F (9°C),5 Apr 4:51 pm CDT,60656,41.9735,-87.8658,2025-04-05 17:17:09,Forested/Parkland,2.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.9399&lon=-87.6528,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60657,41.9399,-87.6528,2025-04-05 17:17:09,Forested/Parkland,1.0,Normal
53°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.9972&lon=-87.7166,52%,N 12 mph,30.05 in (1017.9 mb),36°F (2°C),10.00 mi,49°F (9°C),5 Apr 4:51 pm CDT,60659,41.9972,-87.7166,2025-04-05 17:17:09,Forested/Parkland,2.0,Normal
53°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.9909&lon=-87.6629,52%,N 12 mph,30.05 in (1017.9 mb),36°F (2°C),10.00 mi,49°F (9°C),5 Apr 4:51 pm CDT,60660,41.9909,-87.6629,2025-04-05 17:17:10,Forested/Parkland,2.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8814&lon=-87.643,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60661,41.8814,-87.643,2025-04-05 17:17:11,Forested/Parkland,1.0,Normal
53°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.9643&lon=-87.8162,52%,N 12 mph,30.05 in (1017.9 mb),36°F (2°C),10.00 mi,49°F (9°C),5 Apr 4:51 pm CDT,60706,41.9643,-87.8162,2025-04-05 17:17:11,Forested/Parkland,2.0,Normal
53°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.9232&lon=-87.8185,52%,N 12 mph,30.05 in (1017.9 mb),36°F (2°C),10.00 mi,49°F (9°C),5 Apr 4:51 pm CDT,60707,41.9232,-87.8185,2025-04-05 17:17:12,Forested/Parkland,2.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.6721&lon=-87.7357,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60803,41.6721,-87.7357,2025-04-05 17:17:12,Forested/Parkland,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8378&lon=-87.7602,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60804,41.8378,-87.7602,2025-04-05 17:17:13,Forested/Parkland,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.722&lon=-87.7024,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60805,41.722,-87.7024,2025-04-05 17:17:13,Forested/Parkland,1.0,Normal
,Fair,https://forecast.weather.gov/MapClick.php?lat=41.6496&lon=-87.6301,,E 5 mph,30.08 in,,10.00 mi,,5 Apr 4:55 pm CDT,60827,41.6496,-87.6301,2025-04-05 17:17:13,Forested/Parkland,,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8119&lon=-87.6873,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60701,41.8119,-87.6873,2025-04-05 17:17:14,Forested/Parkland,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.85&lon=-87.6501,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60666,41.85,-87.6501,2025-04-05 17:17:15,Forested/Parkland,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8119&lon=-87.6873,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60680,41.8119,-87.6873,2025-04-05 17:17:15,Forested/Parkland,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8756&lon=-87.6378,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60686,41.8756,-87.6378,2025-04-05 17:17:16,Forested/Parkland,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8119&lon=-87.6873,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60690,41.8119,-87.6873,2025-04-05 17:17:16,Forested/Parkland,1.0,Normal
52°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.8119&lon=-87.6873,55%,E 6 mph,30.06 in (1018.3 mb),36°F (2°C),10.00 mi,50°F (10°C),5 Apr 4:53 pm CDT,60699,41.8119,-87.6873,2025-04-05 17:17:16,Forested/Parkland,1.0,Normal
,,,,,,,,,,60710,,,2025-04-05 17:17:16,Forested/Parkland,0.0,Normal
,,,,,,,,,,60811,,,2025-04-05 17:17:16,Forested/Parkland,0.0,Normal
,,,,,,,,,,60812,,,2025-04-05 17:17:16,Forested/Parkland,0.0,Normal
53°F,Overcast,https://forecast.weather.gov/MapClick.php?lat=41.9703&lon=-87.7042,52%,N 12 mph,30.05 in (1017.9 mb),36°F (2°C),10.00 mi,49°F (9°C),5 Apr 4:51 pm CDT,60625,41.9703,-87.7042,2025-04-05 17:17:17,Mixed/Unknown,2.0,Normal
,,,,,,,,,,60648,,,2025-04-05 17:17:17,Sparse/Suburban,0.0,Normal
